CustomerID,Age,MonthlyCharges,Tenure,Contract,Churn
C0001,56,76,25,Month-to-month,Yes
C0002,69,85,45,Month-to-month,Yes
C0003,46,115,19,Month-to-month,No
C0004,32,43,55,Month-to-month,Yes
C0005,60,119,45,Two year,No
C0006,25,57,8,Month-to-month,Yes
C0007,38,116,53,Month-to-month,No
C0008,56,107,55,Month-to-month,No
C0009,36,117,32,Month-to-month,No
C0010,40,31,51,Two year,No
C0011,28,55,44,Month-to-month,Yes
C0012,28,43,70,One year,No
C0013,41,88,18,Two year,Yes
C0014,70,85,22,Two year,Yes
C0015,53,36,37,One year,No
C0016,57,32,56,Two year,No
C0017,41,52,59,Two year,No
C0018,20,47,3,One year,No
C0019,39,67,28,One year,No
C0020,70,44,35,One year,No
C0021,19,93,61,Month-to-month,No
C0022,41,118,54,One year,No
C0023,61,57,63,Month-to-month,No
C0024,47,103,7,Month-to-month,No
C0025,55,68,49,Month-to-month,Yes
C0026,19,86,31,Month-to-month,No
C0027,38,46,58,Month-to-month,Yes
C0028,50,115,61,Month-to-month,Yes
C0029,29,119,24,One year,No
C0030,39,73,20,Month-to-month,No
C0031,61,54,37,Two year,Yes
C0032,42,46,4,Month-to-month,No
C0033,66,42,20,Month-to-month,No
C0034,44,113,60,One year,Yes
C0035,59,54,24,One year,Yes
C0036,45,97,50,Month-to-month,Yes
C0037,33,39,49,Two year,Yes
C0038,32,96,51,Two year,Yes
C0039,64,47,36,Month-to-month,Yes
C0040,68,115,66,Month-to-month,Yes
C0041,61,63,34,Two year,No
C0042,69,37,36,One year,No
C0043,20,69,6,Month-to-month,No
C0044,54,112,39,Two year,No
C0045,68,71,42,Month-to-month,No
C0046,24,70,58,Month-to-month,No
C0047,38,35,12,Month-to-month,No
C0048,26,81,3,One year,No
C0049,56,55,18,One year,No
C0050,35,93,40,One year,Yes
C0051,21,88,21,Month-to-month,Yes
C0052,42,85,15,Month-to-month,No
C0053,31,88,26,Month-to-month,No
C0054,67,99,8,One year,Yes
C0055,26,62,42,Month-to-month,No
C0056,43,82,44,Month-to-month,No
C0057,70,51,14,Two year,No
C0058,19,50,2,Month-to-month,No
C0059,37,99,37,Two year,No
C0060,45,99,69,Month-to-month,No
C0061,64,33,38,One year,No
C0062,24,104,41,Month-to-month,Yes
C0063,61,91,62,Two year,No
C0064,25,91,60,Month-to-month,No
C0065,64,53,14,Month-to-month,No
C0066,52,84,2,Month-to-month,No
C0067,31,38,70,Month-to-month,No
C0068,34,32,17,Month-to-month,No
C0069,53,60,28,Two year,No
C0070,67,69,66,Month-to-month,No
C0071,57,65,35,One year,No
C0072,21,53,5,One year,No
C0073,19,35,65,One year,No
C0074,23,95,40,Month-to-month,No
C0075,59,113,56,Month-to-month,No
C0076,21,104,36,One year,No
C0077,46,33,45,Two year,No
C0078,35,108,23,Month-to-month,No
C0079,43,35,47,Month-to-month,No
C0080,61,80,31,Month-to-month,No
C0081,51,91,11,Two year,Yes
C0082,27,86,10,Month-to-month,Yes
C0083,53,95,67,Month-to-month,Yes
C0084,31,108,14,Two year,No
C0085,48,104,10,Month-to-month,Yes
C0086,65,37,1,Month-to-month,No
C0087,32,55,5,One year,No
C0088,25,80,20,Two year,No
C0089,31,74,8,Month-to-month,Yes
C0090,40,73,43,Month-to-month,Yes
C0091,57,34,1,Month-to-month,No
C0092,38,99,57,Month-to-month,Yes
C0093,33,55,64,One year,No
C0094,62,97,28,Month-to-month,Yes
C0095,35,48,37,Month-to-month,Yes
C0096,64,113,47,Month-to-month,No
C0097,70,49,37,One year,Yes
C0098,41,41,49,Month-to-month,No
C0099,43,76,44,Two year,No
C0100,42,30,56,Month-to-month,No
C0101,62,119,28,Two year,No
C0102,58,43,6,Two year,No
C0103,46,93,61,Month-to-month,No
C0104,32,67,20,Month-to-month,No
C0105,62,66,2,Month-to-month,Yes
C0106,18,40,37,Month-to-month,No
C0107,42,106,20,Month-to-month,Yes
C0108,24,32,26,Month-to-month,Yes
C0109,26,62,29,Month-to-month,Yes
C0110,41,35,1,Two year,No
C0111,18,79,35,Month-to-month,No
C0112,61,39,70,Two year,No
C0113,25,34,59,Month-to-month,Yes
C0114,41,52,69,Two year,No
C0115,28,39,33,One year,Yes
C0116,68,73,51,Month-to-month,Yes
C0117,34,31,12,One year,No
C0118,25,42,20,Month-to-month,Yes
C0119,52,69,53,Month-to-month,No
C0120,52,31,43,Two year,No
C0121,50,113,50,Month-to-month,Yes
C0122,22,94,29,Month-to-month,No
C0123,59,92,57,One year,Yes
C0124,56,102,39,Two year,Yes
C0125,58,46,56,One year,Yes
C0126,45,38,43,Month-to-month,No
C0127,24,104,50,One year,No
C0128,26,44,23,Month-to-month,No
C0129,25,53,44,One year,No
C0130,29,67,38,Two year,No
C0131,51,64,23,One year,No
C0132,50,78,45,Two year,No
C0133,65,98,52,Month-to-month,Yes
C0134,40,91,50,One year,Yes
C0135,41,89,8,Two year,No
C0136,54,79,1,Month-to-month,Yes
C0137,52,107,8,Two year,No
C0138,61,104,29,Month-to-month,Yes
C0139,57,38,5,One year,No
C0140,39,63,47,Two year,Yes
C0141,44,105,34,One year,Yes
C0142,52,64,65,Month-to-month,No
C0143,18,30,55,One year,No
C0144,52,69,43,Month-to-month,No
C0145,54,93,30,Two year,No
C0146,64,51,17,Month-to-month,No
C0147,31,89,26,Month-to-month,No
C0148,20,93,8,One year,Yes
C0149,18,101,47,Month-to-month,Yes
C0150,22,40,72,One year,No
C0151,43,43,46,One year,No
C0152,31,89,68,Two year,No
C0153,56,59,33,One year,Yes
C0154,44,64,1,Month-to-month,No
C0155,26,114,19,Month-to-month,No
C0156,32,66,31,Month-to-month,No
C0157,32,34,14,Month-to-month,No
C0158,43,112,53,Month-to-month,No
C0159,59,107,48,One year,No
C0160,30,55,69,One year,No
C0161,68,91,62,Month-to-month,Yes
C0162,49,33,66,Two year,No
C0163,56,118,64,Two year,No
C0164,66,71,70,Two year,No
C0165,69,118,63,One year,No
C0166,49,47,33,Month-to-month,No
C0167,21,69,41,Month-to-month,No
C0168,47,101,48,Month-to-month,No
C0169,54,68,13,Month-to-month,No
C0170,40,43,31,Two year,Yes
C0171,56,61,68,Two year,No
C0172,62,80,4,Month-to-month,No
C0173,32,67,19,Month-to-month,Yes
C0174,60,52,70,Two year,No
C0175,46,92,13,Month-to-month,No
C0176,53,44,23,Month-to-month,No
C0177,30,54,1,Two year,Yes
